"STATION","NAME","DATE","TMAX","TMIN"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-01","31","17"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-02","32","24"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-03","36","30"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-04","35","6"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-05","9","-1"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-06","13","6"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-07","9","-3"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-08","19","-6"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-09","16","3"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-10","25","1"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-11","33","24"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-12","30","19"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-13","23","13"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-14","22","8"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-15","36","17"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-16","33","26"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-17","43","29"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-18","42","34"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-19","38","30"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-20","39","31"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-21","33","30"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-22","33","30"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-23","33","30"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-24","43","31"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-25","35","25"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-26","28","22"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-27","30","26"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-28","35","23"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-29","38","30"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-30","30","23"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-01-31","38","24"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-01","32","21"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-02","23","11"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-03","29","10"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-04","28","14"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-05","19","8"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-06","32","15"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-07","44","28"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-08","43","29"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-09","29","26"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-10","29","25"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-11","37","21"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-12","22","11"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-13","28","10"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-14","29","5"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-15","14","1"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-16","18","8"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-17","22","11"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-18","11","0"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-19","8","-4"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-20","19","1"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-21","30","18"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-22","30","6"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-23","17","1"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-24","31","7"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-25","27","18"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-26","21","11"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-27","20","7"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-02-28","22","5"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-01","29","18"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-02","28","18"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-03","36","25"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-04","32","15"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-05","20","11"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-06","26","8"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-07","47","25"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-08","42","34"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-09","48","36"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-10","54","36"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-11","45","34"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-12","43","32"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-13","59","35"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-14","52","36"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-15","62","34"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-16","73","39"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-17","40","32"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-18","46","34"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-19","42","36"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-20","50","39"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-21","46","33"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-22","35","29"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-23","33","28"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-24","38","28"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-25","42","38"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-26","40","31"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-27","31","24"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-28","31","24"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-29","49","28"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-30","59","39"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-03-31","56","37"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-01","71","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-02","63","50"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-03","57","34"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-04","58","33"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-05","66","39"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-06","60","37"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-07","44","37"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-08","46","38"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-09","73","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-10","62","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-11","62","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-12","69","48"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-13","65","56"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-14","58","43"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-15","55","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-16","54","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-17","72","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-18","67","44"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-19","56","47"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-20","55","44"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-21","54","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-22","46","35"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-23","46","38"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-24","52","40"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-25","45","40"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-26","49","40"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-27","49","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-28","50","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-29","54","44"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-04-30","47","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-01","57","44"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-02","76","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-03","80","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-04","71","50"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-05","57","46"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-06","55","46"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-07","84","49"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-08","80","55"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-09","62","45"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-10","51","44"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-11","69","46"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-12","56","49"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-13","49","42"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-14","61","44"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-15","76","55"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-16","78","59"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-17","81","59"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-18","79","51"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-19","52","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-20","48","41"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-21","68","47"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-22","61","48"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-23","69","50"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-24","74","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-25","79","66"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-26","76","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-27","73","57"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-28","72","59"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-29","81","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-30","73","45"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-05-31","50","43"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-01","54","47"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-02","62","47"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-03","64","52"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-04","79","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-05","69","51"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-06","59","50"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-07","80","52"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-08","84","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-09","85","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-10","91","62"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-11","70","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-12","70","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-13","73","53"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-14","84","64"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-15","81","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-16","65","54"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-17","62","56"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-18","81","55"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-19","58","50"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-20","80","55"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-21","82","69"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-22","84","67"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-23","76","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-24","78","61"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-25","78","60"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-26","63","59"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-27","71","59"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-28","73","60"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-29","68","63"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-06-30","73","58"
"USC00111550","CHICAGO NORTHERLY ISLAND, IL US","2015-07-01","61","55"
